slot,delivery_date,year,month,reiwa_year,cust_ref,product_code,product_name,qty,unit_price,price_mk128,price_mk168,total,master_sale,all_codes,sig_pos,mk_pos,qty_src,price_src
4012,2026-04,2026,4,8,15445,150,移動払出,124,-129.0,-129.0,3719.0,15996.0,0.0,150,176,188,MK+81,MK+128
5084,2026-05,2026,5,8,7264,400,割水,3,54.0,8.4,54.0,162.0,0.0,400,224,236,code+47,MK+168
6385,2026-06,2026,6,8,23650,220,蔵内戻,0,0.0,0.0,0.0,0.0,2250.0,220,309,321,,
8823,2026-08,2026,8,8,19543,150,移動払出,36,-359.0,-359.0,1104.0,12924.0,0.0,150|380|109|170,59,71,MK+81,MK+128
9881,2026-09,2026,9,8,3155,151,移動受入,117,354.0,354.0,354.0,41418.0,0.0,151,221,233,MK+81,MK+128
11118,2026-10,2026,10,8,3155,151,移動受入,132,244.0,244.0,244.0,32208.0,0.0,151,242,254,MK+81,MK+128
12222,2026-11,2026,11,8,27733,120,ろ過�,38,0.0,0.0,0.0,0.0,0.0,120,322,334,MK+81,
1973,2027-02,2027,2,9,7252,151,移動受入,131,533.0,533.0,533.0,69823.0,0.0,151,249,261,MK+81,MK+128
6413,2027-06,2027,6,9,11363,220,蔵内戻,38,233.72,233.72,3850.0,8881.0,2250.0,220|103,81,93,MK+81,MK+128
7714,2027-07,2027,7,9,15459,161,蔵内受入,117,359.0,359.0,359.0,42003.0,0.0,161,166,178,MK+81,MK+128
8850,2027-08,2027,8,9,7256,160,売場払出,131,-177.0,-177.0,0.0,23187.0,0.0,160,278,290,MK+81,MK+128
12231,2027-11,2027,11,9,15446,,,0,0.0,0.0,0.0,0.0,0.0,,395,407,,
13336,2027-12,2027,12,9,31830,410,詰口,117,-639.18,-639.18,0.0,74784.0,0.0,410|107|160|160,28,40,MK+81,MK+128
1002,2028-01,2028,1,10,15443,151,移動受入,2,43.2,43.2,43.2,86.0,0.0,151,110,122,code+47,MK+128
1978,2028-02,2028,2,10,31828,151,移動受入,2,51.6,51.6,51.6,103.0,0.0,151|101|100,62,74,code+47,MK+128
5093,2028-05,2028,5,10,35936,150,移動払出,38,-263.0,-263.0,0.0,9994.0,0.0,150,297,309,MK+81,MK+128
7718,2028-07,2028,7,10,0,,,0,0.0,0.0,0.0,0.0,0.0,,426,438,,
13340,2028-12,2028,12,10,15447,151,移動受入,0,10.2,10.2,0.0,0.0,0.0,151,288,300,,MK+128
